url,title,description,published_at,sentiment,sentiment_score,prob_pos,prob_neg,prob_neu,source,tickers,fetched_at
https://www.tradingview.com/news/gurufocus:b778c5de2094b:0-apple-and-google-agree-to-app-store-changes-after-u-k-scrutiny/,Apple and Google Agree to App Store Changes After U.K. Scrutiny,"Apple and Alphabet have agreed to implement changes to their app stores to enhance transparency and competition, following scrutiny from the U.K.'s Competition and Markets Authority (CMA). The CMA stated that these commitments will ensure fairer app reviews and provide developers with greater access to tools for creating competing products. This decision addresses concerns over the dominant control exerted by Apple's App Store and Google's Play Store within the mobile ecosystem.",2026-02-10T15:26:51,neutral,0.034413,,,,TradingView,,2026-02-10T17:02:55.449611
https://finviz.com/news/305701/5-blue-chip-stocks-to-buy-as-dow-hits-a-new-milestone,5 Blue-Chip Stocks to Buy as Dow Hits a New Milestone,"The Dow Index recently crossed the 50,000 mark for the first time, signaling a shift in market participant interest from technology to cyclical stocks. This article recommends five blue-chip stocks with a Zacks Rank #2 (Buy) that are poised for continued growth. These include Apple Inc., NVIDIA Corp., The Goldman Sachs Group Inc., Salesforce Inc., and Walmart Inc., each highlighted for their strong performance, strategic initiatives, and favorable growth prospects.",2026-02-10T15:04:28,bullish,0.434373,,,,Finviz,,2026-02-10T17:02:55.449611
https://markets.financialcontent.com/stocks/article/finterra-2026-2-10-the-glass-architecture-of-ai-a-comprehensive-research-feature-on-corning-inc-glw,The Glass Architecture of AI: A Comprehensive Research Feature on Corning Inc. (GLW),"Corning Inc. (GLW) has transformed from a traditional glass and ceramics manufacturer into a critical enabler of the generative AI revolution, leveraging its fiber-optic solutions and glass substrates for next-generation semiconductors. The company's strategic ""Springboard"" growth plan, coupled with significant partnerships with tech giants like Meta and Apple, has led to substantial financial growth and a re-rating by the market. Despite risks such as valuation and geopolitical exposure, Corning is well-positioned to benefit from the increasing demand for high-bandwidth connectivity and advanced chip packaging, supported by U.S. industrial policy.",2026-02-10T15:01:27,bullish,0.539272,,,,FinancialContent,,2026-02-10T17:02:55.449611
https://www.theglobeandmail.com/investing/markets/stocks/AAPL/pressreleases/130701/apple-inc-aapl-bernstein-raises-valuation-forecast/,Apple Inc. (AAPL) Bernstein Raises Valuation Forecast,"Bernstein analyst Toni Sacconaghi has increased the 12-month price target for Apple Inc. (AAPL) to $340.00 from $325.00, maintaining an ""Outperform"" rating. This upward revision is due to improved visibility into Apple's high-margin and consistent services growth, along with its strong capital return strategy. Despite potential near-term share price volatility and mixed hardware demand, Bernstein believes Apple's ecosystem strength, services mix, and disciplined capital allocation position it for market outperformance.",2026-02-10T14:03:00,bullish,0.637829,,,,The Globe and Mail,,2026-02-10T17:02:55.449611
https://indianexpress.com/article/technology/tech-news-technology/the-making-of-mx-master-4-how-logitech-designed-a-premium-wireless-mouse-with-haptic-vibrations-10524437/,The making of MX Master 4: How Logitech designed a premium wireless mouse with haptic vibrations,"Logitech's VP Anatoliy Polyanker discussed the design of the MX Master 4, a premium wireless mouse featuring haptic feedback. Inspired by smartphones and PCs, the mouse aims to provide an immersive, multisensory experience for creative professionals, enhancing productivity through features like the Action Ring and seamless device transitions. The design prioritizes desirability, durability, and sustainability, with a focus on software-driven customization and integration of AI tools.",2026-02-10T13:28:31,bullish,0.379186,,,,The Indian Express,,2026-02-10T17:02:55.449611
https://www.advisorperspectives.com/commentaries/2026/02/10/tech-views-takeaways-4q25-earnings,Tech Views and Takeaways From 4Q25 Earnings - Raymond James - Commentaries,"Raymond James' Larry Adam provides an analysis of 4Q25 earnings, highlighting robust double-digit growth for the S&P 500 and strong performance from mega-cap tech (MAGMAN) despite recent tech stock sell-offs. The report emphasizes the accelerating impact of AI across various industries, driving significant capital expenditure increases and broadening market performance beyond just the tech sector. Furthermore, emerging markets are showing strong momentum, particularly in chip-heavy economies, driven by impressive earnings growth.",2026-02-10T12:57:54,somewhat-bullish,0.288386,,,,Advisor Perspectives,,2026-02-10T17:02:55.449611
https://finviz.com/news/305292/qualcomm-qcom-beats-estimates-as-piper-sandler-reiterates-overweight-rating,Qualcomm (QCOM) Beats Estimates as Piper Sandler Reiterates Overweight Rating,"Qualcomm (QCOM) reported stronger-than-expected earnings and revenue for Q1 fiscal 2026, with EPS of $3.50 and revenue of $12.25 billion, beating analyst forecasts. Despite the beat, Piper Sandler reiterated an Overweight rating with a $200 price target, noting tempered March guidance due to memory constraints at OEMs, particularly in China, which will impact the handset business, though Automotive and IoT segments show strong growth. The firm anticipates a longer-term impact from memory conditions and the Apple agreement, with potential boosts from clarity on Qualcomm's data center strategy.",2026-02-10T11:48:17,neutral,0.050218,,,,Finviz,,2026-02-10T17:02:55.449611
https://www.manilatimes.net/2026/02/10/tmt-newswire/globenewswire/ragnarok-twilight-official-launching-in-vietnam-on-february-10-2026/2275032/amp,"Ragnarok: Twilight Official Launching in Vietnam on February 10, 2026","GRAVITY Co., Ltd. has officially launched its MMORPG mobile game, Ragnarok: Twilight, in Vietnam on February 10, 2026. This launch follows successful performances in other regions, including China, Taiwan, Hong Kong, Macau, and various Southeast Asian countries where the game achieved high rankings in downloads and grossing charts. Gravity aims to continue its good service in Vietnam and encourages users to enjoy the game's features and celebratory events.",2026-02-10T11:28:58,bullish,0.35946,,,,The Manila Times,,2026-02-10T17:02:55.449611
https://www.stocktitan.net/news/GRVY/ragnarok-twilight-official-launching-in-vietnam-on-february-10-2v93unkwm4d2.html,Top-ranked mobile RPG Ragnarok: Twilight debuts in Vietnam,"GRAVITY (NasdaqGM: GRVY) has officially launched its MMORPG mobile game, Ragnarok: Twilight, in Vietnam on February 10, 2026. This launch follows the game's significant success in other Asian markets, where it achieved high rankings in both free downloads and top-grossing lists on Google Play and Apple App Store. The game offers features like a hero transformation system, 100% rare-equipment/card MVP drops, and solo-friendly exclusive MVP dungeons.",2026-02-10T11:28:58,somewhat-bullish,0.293235,,,,Stock Titan,,2026-02-10T17:02:55.449611
https://www.reuters.com/world/apple-google-agree-app-store-changes-appease-uk-regulator-2026-02-10/,Apple and Google agree app store changes to appease UK regulator,"Apple and Google have agreed to implement changes to their app stores to address concerns raised by the UK's antitrust regulator, the Competition and Markets Authority (CMA). These changes aim to make app stores fairer and more transparent for developers. Both companies stated their continued commitment to user experience and developer opportunities while collaborating with the CMA.",2026-02-10T11:06:00,neutral,0.113552,,,,Reuters,,2026-02-10T17:02:55.449611
